created_at,entry_id,field1,field2
2024-10-31 00:32:27 UTC,1,24.1,15.37
2024-10-31 00:33:24 UTC,2,24.8,14.86
2024-10-31 00:33:55 UTC,3,24.8,15.37
2024-10-31 00:34:27 UTC,4,24.8,15.37
2024-10-31 00:34:58 UTC,5,24.8,15.37
2024-10-31 00:35:30 UTC,6,24.8,15.37
2024-10-31 00:36:02 UTC,7,24.8,15.37
2024-10-31 05:26:03 UTC,8,23.4,14.95
2024-10-31 05:26:38 UTC,9,23.4,14.95
2024-10-31 05:27:10 UTC,10,23.4,14.95
2024-10-31 05:27:41 UTC,11,23.4,14.95
2024-10-31 05:28:13 UTC,12,23.4,14.95
2024-10-31 05:28:46 UTC,13,23.8,14.95
2024-10-31 05:29:18 UTC,14,23.8,14.95
2024-10-31 05:29:50 UTC,15,23.8,14.95
2024-10-31 05:30:27 UTC,16,23.8,0
2024-10-31 05:33:42 UTC,17,23.8,0
2024-10-31 05:34:15 UTC,18,23.8,14.95
2024-10-31 05:34:48 UTC,19,23.8,14.95
2024-10-31 05:35:20 UTC,20,23.8,14.95
2024-10-31 05:35:52 UTC,21,23.8,14.95
2024-10-31 05:36:24 UTC,22,23.8,15.03
2024-10-31 05:36:56 UTC,23,23.8,15.03
2024-10-31 05:37:28 UTC,24,23.8,15.03
2024-10-31 05:38:00 UTC,25,23.8,15.03
2024-10-31 05:38:32 UTC,26,23.8,15.03
2024-10-31 05:39:04 UTC,27,23.8,15.03
2024-10-31 05:39:40 UTC,28,23.8,0
2024-10-31 05:40:12 UTC,29,23.9,15.03
2024-10-31 05:40:44 UTC,30,24.1,15.03
2024-10-31 05:41:16 UTC,31,24.1,15.03
2024-10-31 05:41:48 UTC,32,24.1,15.03
2024-10-31 05:42:21 UTC,33,24.1,15.03
2024-10-31 05:42:53 UTC,34,24.1,15.03
2024-10-31 05:43:24 UTC,35,24.1,15.03
2024-10-31 05:43:56 UTC,36,24.1,15.03
2024-10-31 05:44:29 UTC,37,24.1,15.03
2024-10-31 05:45:01 UTC,38,0,15.03
2024-10-31 05:45:32 UTC,39,0,15.03
2024-10-31 05:46:04 UTC,40,0,15.03
2024-10-31 05:46:36 UTC,41,0,15.03
2024-10-31 05:47:08 UTC,42,0,15.03
2024-10-31 05:47:40 UTC,43,0,15.03
2024-10-31 05:48:13 UTC,44,0,15.03
2024-10-31 05:48:45 UTC,45,0,15.03
2024-10-31 05:49:16 UTC,46,0,15.03
2024-10-31 05:49:48 UTC,47,0,15.03
